ip,port,location,ping,type,anonymity
124.40.250.230,4145,Indonesia,1380,SOCKS4,High
110.232.68.216,4145,Indonesia,1480,SOCKS4,High
103.76.151.90,4145,Indonesia,1320,SOCKS4,High
103.227.145.62,4145,Indonesia,1100,SOCKS4,High
103.232.33.58,4145,Indonesia,1140,SOCKS4,High
202.158.45.132,4145,Indonesia,1180,SOCKS4,High
103.9.126.1,4145,Indonesia,1160,SOCKS4,High
103.19.109.89,4145,Indonesia,1040,SOCKS4,High
202.138.225.125,4145,Indonesia,2580,SOCKS4,High
103.91.44.78,4145,Indonesia,1040,SOCKS4,High
36.89.246.20,4145,Indonesia,1340,SOCKS4,High
116.68.252.49,4145,Indonesia,1260,SOCKS4,High
182.253.142.11,4145,Indonesia,1220,SOCKS4,High
103.71.241.1,4145,Indonesia,1200,SOCKS4,High
103.253.1.153,4145,Indonesia,1380,SOCKS4,High
223.25.99.163,1180,Indonesia,1620,SOCKS4,High
103.11.99.86,4145,Indonesia,1000,SOCKS4,High
103.113.3.226,4145,Indonesia,1480,SOCKS4,High
103.227.145.1,4145,Indonesia,1100,SOCKS4,High
103.95.8.129,4145,Indonesia,1240,SOCKS4,High
103.28.56.133,4145,Indonesia,960,SOCKS4,High
103.87.76.106,51372,Indonesia,1160,SOCKS4,High
103.81.132.206,35168,Indonesia,1340,SOCKS4,High
203.160.58.114,4145,Indonesia,3340,SOCKS4,High
202.43.112.45,4145,Indonesia,1280,SOCKS4,High
114.129.17.35,4145,Indonesia,1340,SOCKS4,High
103.36.11.177,4145,Indonesia,1060,SOCKS4,High
202.51.118.42,4145,Indonesia,960,SOCKS4,High
103.28.149.118,8088,Indonesia,1620,"SOCKS4, SOCKS5",High
103.255.123.163,51776,Indonesia,3280,SOCKS4,High
103.28.115.145,4145,Indonesia,1180,SOCKS4,High
103.14.20.222,51372,Indonesia,1300,SOCKS4,High
122.50.5.146,10000,Indonesia,5100,HTTP,No
202.180.50.98,4145,Indonesia,2220,SOCKS4,High
103.12.30.77,4145,Indonesia,1120,SOCKS4,High
119.2.88.26,4145,Indonesia,4300,SOCKS4,High
103.86.161.250,4145,Indonesia,1160,SOCKS4,High
103.77.204.55,4145,Indonesia,1240,SOCKS4,High
103.225.171.29,4145,Indonesia,1260,SOCKS4,High
103.247.122.121,4145,Indonesia,1260,SOCKS4,High
203.190.45.145,4145,Indonesia,1280,SOCKS4,High
103.195.18.113,4145,Indonesia,1200,SOCKS4,High
202.46.3.22,4145,Indonesia,1100,SOCKS4,High
103.53.3.125,4145,Indonesia,1000,SOCKS4,High
36.89.185.93,51776,Indonesia,1160,SOCKS4,High
103.81.134.66,4145,Indonesia,1340,SOCKS4,High
202.154.26.210,4145,Indonesia,1260,SOCKS4,High
122.200.146.109,4145,Indonesia,1220,SOCKS4,High
103.207.96.94,4145,Indonesia,1340,SOCKS4,High
103.18.78.198,4145,Indonesia,1120,SOCKS4,High
222.124.5.141,4145,Indonesia,1180,SOCKS4,High
